2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:ZoneServer() | Add dynamic spawn -- planet ID 5 | SEV: INFO
2017-01-25 08:54:21 Source:DatabaseInterface | Loaded 39 lair spawns. | SEV: INFO
2017-01-25 08:54:21 Source:DatabaseInterface | Loading dynamic lair spawn list for Rori | SEV: INFO
